timestamp,summary_values,boiler1_values,boiler2_values
2025-07-26 11:00:00,"9.529 MPa 9.528 MPa 9.527 MPa 1,017.3 t/h 1,015.8 t/h",336.24 t/h 334.75 t/h 9.481 MPa 41.2 rpm 0.00 t/h 3.12,337.16 t/h  337.11 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.46
2025-07-26 11:00:01,"9.529 MPa 9.528 MPa 9.527 MPa 1,017.4 t/h 1,016.0 t/h",336.23 t/h 334.76 t/h 9.481 MPa 41.2 rpm 0.00 t/h 3.14,337.15 t/h  337.22 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.47
2025-07-26 11:00:03,"9.529 MPa 9.528 MPa 9.527 MPa 1,017.6 t/h 1,016.2 t/h",336.25 t/h 334.76 t/h 9.481 MPa 41.2 rpm 0.00 t/h 3.14,337.15 t/h  337.30 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.48
2025-07-26 11:00:05,"9.529 MPa 9.528 MPa 9.527 MPa 1,018.0 t/h 1,016.9 t/h",336.21 t/h 334.96 t/h 9.481 MPa 41.2 rpm 0.00 t/h 3.15,337.14 t/h  337.33 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.48
2025-07-26 11:00:06,"9.529 MPa 9.528 MPa 9.527 MPa 1,018.2 t/h 1,017.4 t/h",336.20 t/h 335.09 t/h 9.482 MPa 41.2 rpm 0.00 t/h 3.16,337.13 t/h  337.47 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.50
2025-07-26 11:00:08,"9.529 MPa 9.528 MPa 9.526 MPa 1,018.4 t/h 1,017.8 t/h",336.20 t/h 335.14 t/h 9.482 MPa 41.2 rpm 0.00 t/h 3.17,337.12 t/h  337.64 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.50
2025-07-26 11:00:10,"9.529 MPa 9.529 MPa 9.526 MPa 1,018.6 t/h 1,018.3 t/h",336.19 t/h 335.33 t/h 9.481 MPa 41.2 rpm 0.00 t/h 3.17,337.12 t/h  337.70 t/h 9.557 MPa 53.7 rpm 0.00 t/h 3.50
2025-07-26 11:00:11,"9.529 MPa 9.529 MPa 9.526 MPa 1,018.7 t/h 1,018.6 t/h",336.19 t/h 335.44 t/h 9.481 MPa 41.2 rpm 0.00 t/h 3.17,337.12 t/h  337.76 t/h 9.557 MPa 53.7 rpm 0.00 t/h 3.01
2025-07-26 11:00:13,"9.529 MPa 9.533 MPa 9.526 MPa 1,017.4 t/h 1,018.7 t/h",335.53 t/h 335.54 t/h 9.495 MPa 41.2 rpm 0.00 t/h 3.19,336.46 t/h  337.81 t/h 9.557 MPa 53.7 rpm 0.00 t/h 3.01
2025-07-26 11:00:15,"9.529 MPa 9.532 MPa 9.526 MPa 1,017.6 t/h 1,018.9 t/h",335.61 t/h 335.69 t/h 9.494 MPa 41.2 rpm 0.00 t/h 3.19,336.53 t/h  337.89 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.02
2025-07-26 11:00:16,"9.529 MPa 9.532 MPa 9.526 MPa 1,017.5 t/h 1,019.1 t/h",335.60 t/h 335.79 t/h 9.493 MPa 41.2 rpm 0.00 t/h 3.20,336.53 t/h  337.95 t/h 9.556 MPa 53.7 rpm 0.00 t/h 3.03
2025-07-26 11:00:18,"9.529 MPa 9.536 MPa 9.526 MPa 1,016.2 t/h 1,019.0 t/h",335.01 t/h 335.83 t/h 9.493 MPa 41.2 rpm 0.00 t/h 3.20,335.94 t/h  337.97 t/h 9.569 MPa 53.7 rpm 0.00 t/h 3.03
2025-07-26 11:00:19,"9.529 MPa 9.541 MPa 9.526 MPa 1,014.7 t/h 1,019.1 t/h",334.33 t/h 335.97 t/h 9.495 MPa 41.2 rpm 0.00 t/h 3.22,335.25 t/h  338.01 t/h 9.569 MPa 53.7 rpm 0.00 t/h 3.05
2025-07-26 11:00:21,"9.529 MPa 9.541 MPa 9.526 MPa 1,014.3 t/h 1,018.8 t/h",334.28 t/h 335.98 t/h 9.495 MPa 41.2 rpm 0.00 t/h 3.23,335.21 t/h  338.05 t/h 9.569 MPa 53.7 rpm 0.00 t/h 3.07
